CountryCode,Country,SeriesCode,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4,Afghanistan,553,"Maternal mortality ratio per 100,000 live births",1340,1330,1330,1320,1300,1270,1240,1200,1160,1130,1100,1050,996,941,881,821,776,724,676,631,584,536,496,459,425,396
4,Afghanistan,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , ,14.3, , , , ,24, ,34.3,38.6, , , ,
8,Albania,553,"Maternal mortality ratio per 100,000 live births",71,69,65,63,49,53,50,51,46,42,43,40,37,35,31,30,29,30,30,30,30,30,30,29,29,29
8,Albania,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , ,99.1, ,98, , ,99.8, , , ,99.3, , , , , ,
12,Algeria,553,"Maternal mortality ratio per 100,000 live births",216,210,205,201,196,192,189,184,179,174,170,164,158,153,150,148,147,148,148,148,147,147,145,144,141,140
12,Algeria,570,"Births attended by skilled health personnel, percentage", , ,77, , , , , , , ,92.6, ,95.9, , , ,95.2, , , , , , ,96.6, ,
24,Angola,553,"Maternal mortality ratio per 100,000 live births",1160,1160,1180,1180,1180,1150,1120,1070,1030,981,924,878,831,789,749,705,668,640,606,581,561,546,526,509,493,477
24,Angola,570,"Births attended by skilled health personnel, percentage", , , , , , ,22.5, , , , , , , , , , ,47.3, , , , , , , ,
28,Antigua and Barbuda,553,"Maternal mortality ratio per 100,000 live births", , , , , , , , , , , , , , , , , , , , , , , , , ,
28,Antigua and Barbuda,570,"Births attended by skilled health personnel, percentage", , , , , , ,100, ,100, ,99.9,100, , ,100,99.9,99.9,100,100, , , ,100,100, ,
32,Argentina,553,"Maternal mortality ratio per 100,000 live births",72,71,69,65,64,63,63,64,61,62,60,61,60,61,59,58,57,58,57,62,58,56,55,54,54,52
32,Argentina,570,"Births attended by skilled health personnel, percentage", , ,95.8, , , , ,97.2,97.5,97.5, , ,98.9,98.7, ,99.1,99.4,99.4,94.8,97.9,95,97.1,98.2,97, ,
51,Armenia,553,"Maternal mortality ratio per 100,000 live births",58,48,55,57,50,50,51,46,46,40,40,39,45,43,41,40,40,35,39,36,33,31,30,28,26,25
51,Armenia,570,"Births attended by skilled health personnel, percentage",99.7, , , , , , ,96.4, ,97.3,96.8, , , , ,97.8, ,99.9, , ,99.5, , , , ,
36,Australia,553,"Maternal mortality ratio per 100,000 live births",8,8,8,8,8,8,8,9,8,9,9,8,8,8,7,7,7,7,7,7,6,7,6,6,6,6
36,Australia,570,"Births attended by skilled health personnel, percentage", ,100, , , , , , , ,100, , , , , , , , , , , , , , , ,
40,Austria,553,"Maternal mortality ratio per 100,000 live births",8,8,8,7,7,6,6,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4
40,Austria,570,"Births attended by skilled health personnel, percentage", , , ,100, , , , , , , , , , , , , , , , , , , , , ,
31,Azerbaijan,553,"Maternal mortality ratio per 100,000 live births",64,65,83,82,92,86,77,73,66,61,48,43,38,38,32,34,30,29,28,27,27,26,25,25,26,25
31,Azerbaijan,570,"Births attended by skilled health personnel, percentage",97.3, , , , , , , ,99.8, ,84.1,88, , , , ,88.6, , , ,99.4,97.2, , , ,
44,Bahamas,553,"Maternal mortality ratio per 100,000 live births",46,46,45,45,47,49,52,54,55,58,61,64,67,71,71,74,78,78,82,80,85,86,82,81,83,80
44,Bahamas,570,"Births attended by skilled health personnel, percentage",99, , , , , , , , , ,99, , , , , ,99,99, , , ,99, ,98, ,
48,Bahrain,553,"Maternal mortality ratio per 100,000 live births",26,25,25,23,22,22,22,22,22,22,21,21,21,20,20,20,19,18,17,17,16,16,16,15,15,15
48,Bahrain,570,"Births attended by skilled health personnel, percentage", , , , , ,97.6, , , , , , , , , , , , ,97.4,99.5, , , , , ,
50,Bangladesh,553,"Maternal mortality ratio per 100,000 live births",569,550,531,511,495,479,462,446,432,415,399,384,365,349,333,319,303,288,273,258,242,228,214,201,188,176
50,Bangladesh,570,"Births attended by skilled health personnel, percentage", , , , ,9.5, , ,8, ,12.1,13.9,11.6, , ,13.2, ,20.1,18, , ,26.5,31.7, ,43.5,42.1,
52,Barbados,553,"Maternal mortality ratio per 100,000 live births",58,52,52,52,56,49,44,45,47,50,48,46,46,46,47,40,36,38,36,34,33,31,29,28,28,27
52,Barbados,570,"Births attended by skilled health personnel, percentage", , , , , ,100, , , ,91,98, , ,100,100,100,100,100, , , , ,100,98, ,
112,Belarus,553,"Maternal mortality ratio per 100,000 live births",33,32,32,33,33,33,32,31,30,30,26,23,22,19,16,13,10,8,7,6,5,5,4,4,4,4
112,Belarus,570,"Births attended by skilled health personnel, percentage", , , , , , , , , ,99.9, , ,99.9, ,99.9,100, , ,99.9,99.9,99.9, ,100, , ,
56,Belgium,553,"Maternal mortality ratio per 100,000 live births",9,9,9,9,9,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7
56,Belgium,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
84,Belize,553,"Maternal mortality ratio per 100,000 live births",54,54,55,54,55,55,53,53,51,52,53,53,53,50,50,52,50,46,36,39,37,33,32,29,28,28
84,Belize,570,"Births attended by skilled health personnel, percentage", ,76.9, , , , , , , ,83.8, , , , , , ,95.8,94.6,94.9,93.5,94.3,96.2, , , ,
204,Benin,553,"Maternal mortality ratio per 100,000 live births",576,553,540,537,541,550,561,571,577,576,572,561,549,538,523,502,494,481,469,457,446,436,429,422,414,405
204,Benin,570,"Births attended by skilled health personnel, percentage", , , , , , ,59.8, , , , ,65.5, , , , ,74, , , , , ,80.9, ,77.2,
64,Bhutan,553,"Maternal mortality ratio per 100,000 live births",945,877,813,749,690,636,579,530,488,454,423,397,373,353,331,308,285,263,242,221,204,190,177,166,156,148
64,Bhutan,570,"Births attended by skilled health personnel, percentage", , , , ,14.9, , , , , ,23.7, , ,56.1, , , ,71.4, , ,64.5, ,74.6, , ,
68,Bolivia,553,"Maternal mortality ratio per 100,000 live births",425,422,417,409,401,390,375,362,350,342,334,329,323,317,312,305,298,288,277,266,253,241,230,222,215,206
68,Bolivia,570,"Births attended by skilled health personnel, percentage", , , , ,47.2, , , ,59.3, ,68.8, ,65.1,60.8, , , , ,71.1, , ,84,84.8, , ,
70,Bosnia and Herzegovina,553,"Maternal mortality ratio per 100,000 live births",28,29,28,26,24,22,21,21,19,18,17,16,15,15,15,14,14,14,13,14,13,12,12,12,12,11
70,Bosnia and Herzegovina,570,"Births attended by skilled health personnel, percentage", ,97.4, , , , , , , , ,99.6,99.8,99.8, ,99.9, ,99.6, , , , , ,99.9, , ,
72,Botswana,553,"Maternal mortality ratio per 100,000 live births",243,233,227,226,230,238,253,270,289,307,311,328,338,334,311,276,239,215,208,188,169,159,153,139,134,129
72,Botswana,570,"Births attended by skilled health personnel, percentage", , , , , , ,87, , , ,94.2, , , , , , ,94.6, , , , , , , ,
76,Brazil,553,"Maternal mortality ratio per 100,000 live births",104,100,95,93,88,84,86,90,94,81,66,61,62,63,66,67,68,67,66,65,65,59,60,48,46,44
76,Brazil,570,"Births attended by skilled health personnel, percentage", , , , , , ,87.6, , , , , , , , , ,97, , , , ,98.1,98.1, , ,
96,Brunei Darussalam,553,"Maternal mortality ratio per 100,000 live births",35,31,32,33,34,33,34,34,33,33,31,31,30,32,32,30,28,26,27,26,27,29,25,24,23,23
96,Brunei Darussalam,570,"Births attended by skilled health personnel, percentage", , , , ,98, , , , ,99, , , , , , , , , ,99.9, , , , , ,
100,Bulgaria,553,"Maternal mortality ratio per 100,000 live births",25,23,25,23,25,24,24,26,23,23,21,20,18,17,16,15,14,13,12,11,11,11,10,11,11,11
100,Bulgaria,570,"Births attended by skilled health personnel, percentage",99.1,99.5,99.8,99,99,98.9,99.9,99.9,99.9,99,99.8,98.9,99.2,99.2,99.4,99.4,99.4,99.6,99.6, ,99.5, , ,99.7, ,
854,Burkina Faso,553,"Maternal mortality ratio per 100,000 live births",727,709,693,674,655,636,620,601,581,565,547,530,516,500,482,468,457,447,436,428,417,408,398,389,379,371
854,Burkina Faso,570,"Births attended by skilled health personnel, percentage", , , ,41.5, , , , , ,31, , , ,37.8, , ,53.5, , , ,65.9, , , , ,
108,Burundi,553,"Maternal mortality ratio per 100,000 live births",1220,1250,1270,1260,1250,1210,1160,1100,1040,985,954,919,898,883,873,863,856,849,838,824,808,796,780,760,737,712
108,Burundi,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , ,25.2, , , , ,33.6, , , , ,60.3, , , , ,
116,Cambodia,553,"Maternal mortality ratio per 100,000 live births",1020,955,896,842,789,730,682,633,582,532,484,441,402,367,341,315,284,257,237,217,202,188,178,173,167,161
116,Cambodia,570,"Births attended by skilled health personnel, percentage", , , , , , , , ,34, ,31.8, , , , ,43.8, , , , ,71,71.7, , ,89,
120,Cameroon,553,"Maternal mortality ratio per 100,000 live births",728,732,740,743,749,749,753,751,749,750,750,751,742,732,723,729,725,710,707,696,676,652,632,619,609,596
120,Cameroon,570,"Births attended by skilled health personnel, percentage", ,63.8, , , , , , ,58.2, ,60, , , ,61.8, ,63, , , , ,63.6, , , ,
124,Canada,553,"Maternal mortality ratio per 100,000 live births",7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7
124,Canada,570,"Births attended by skilled health personnel, percentage", , , , , ,98, , , , , ,98.3, , , , , ,100, , , ,99.9, , , ,
132,Cape Verde,553,"Maternal mortality ratio per 100,000 live births",256,233,212,193,170,150,134,119,104,94,83,75,68,61,56,54,60,60,57,54,51,50,48,46,44,42
132,Cape Verde,570,"Births attended by skilled health personnel, percentage", , , , , ,54, , ,88.5, , , , , , ,77.5, , , , , , , , , ,
140,Central African Republic,553,"Maternal mortality ratio per 100,000 live births",1290,1310,1320,1320,1320,1300,1290,1280,1260,1230,1200,1190,1170,1150,1110,1060,1020,992,963,941,909,888,876,873,872,882
140,Central African Republic,570,"Births attended by skilled health personnel, percentage", , , , , ,45.9, , , , ,44.1, , , , , ,53.4, , ,43.7,53.8, , , , ,
148,Chad,553,"Maternal mortality ratio per 100,000 live births",1450,1440,1450,1440,1440,1430,1410,1410,1390,1390,1370,1360,1310,1260,1220,1170,1130,1100,1070,1070,1040,984,931,901,881,856
148,Chad,570,"Births attended by skilled health personnel, percentage", , , , , , , ,15, , ,16.3, , , ,14.4, , , , , ,22.7, , , , ,
152,Chile,553,"Maternal mortality ratio per 100,000 live births",57,52,48,45,43,41,39,36,34,34,31,32,29,29,29,27,28,29,28,27,26,25,24,23,23,22
152,Chile,570,"Births attended by skilled health personnel, percentage", , , ,99.4,99.5,99.5,99.6,99.6,99.7, , ,99.8, , ,99.8,99.8,99.8,99.7,99.9,99.8,99.8,99.9,99.8, , ,
156,China,553,"Maternal mortality ratio per 100,000 live births",97,92,87,82,77,72,68,64,62,60,58,56,54,52,50,48,45,43,40,38,35,33,31,29,28,27
156,China,570,"Births attended by skilled health personnel, percentage",94,93.7,84.1,83.6,90.4,89.3,93.1,93.8, ,96.8,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9, ,
170,Colombia,553,"Maternal mortality ratio per 100,000 live births",118,120,118,114,109,105,103,98,99,98,97,95,93,89,83,80,77,75,73,73,72,69,66,67,66,64
170,Colombia,570,"Births attended by skilled health personnel, percentage",80.6, , , , ,84.6, , , , ,86.4, , , , ,90.7, , , , ,94.8,99.3,99.3,99.1, ,
174,Comoros,553,"Maternal mortality ratio per 100,000 live births",635,619,606,592,576,563,549,533,521,509,499,484,471,458,447,436,426,415,407,396,388,376,365,354,344,335
174,Comoros,570,"Births attended by skilled health personnel, percentage", , , , , , ,51.6, , , ,61.8, , , , , , , , , , , ,82.2, , ,
178,Congo,553,"Maternal mortality ratio per 100,000 live births",603,608,612,615,627,634,646,653,651,657,653,657,655,641,622,596,575,555,537,525,509,494,483,469,452,442
178,Congo,570,"Births attended by skilled health personnel, percentage", , , , , , , , , , , , , , , ,83.4, , , , , , ,92.5, , ,
184,Cook Islands,553,"Maternal mortality ratio per 100,000 live births", , , , , , , , , , , , , , , , , , , , , , , , , ,
184,Cook Islands,570,"Births attended by skilled health personnel, percentage", ,99, , , , , , ,100, , ,98, , , ,98, , ,100, , , , , , ,
188,Costa Rica,553,"Maternal mortality ratio per 100,000 live births",43,45,43,41,43,44,44,42,39,40,38,36,37,36,32,31,33,29,30,32,29,28,27,26,26,25
188,Costa Rica,570,"Births attended by skilled health personnel, percentage", , ,98, , , , , ,98,98.2, ,98, , ,98.5, , , ,99.1,99.2,99.3,99.1, , , ,
384,Cote d'Ivoire,553,"Maternal mortality ratio per 100,000 live births",745,741,741,753,741,711,686,674,678,674,671,678,683,700,725,742,745,745,745,732,717,715,715,688,665,645
384,Cote d'Ivoire,570,"Births attended by skilled health personnel, percentage", , , , ,45.4, , , , ,47.1,62.8, , , ,68,55.1,56.8, , , , , ,59.4, , ,
191,Croatia,553,"Maternal mortality ratio per 100,000 live births",10,12,11,11,12,12,14,12,12,11,11,10,11,11,11,11,11,11,11,10,10,10,9,9,9,8
191,Croatia,570,"Births attended by skilled health personnel, percentage",99.8, , , , ,99.9, , ,99.8, ,99.9, ,99.9,99.9,99.9,99.9,99.9,99.9,99.9, ,99.9,100, , , ,
192,Cuba,553,"Maternal mortality ratio per 100,000 live births",58,59,60,58,57,55,52,49,49,44,43,41,39,39,40,41,38,40,42,43,44,43,41,41,40,39
192,Cuba,570,"Births attended by skilled health personnel, percentage", , , ,99.8, , , , , ,99.9, ,99.9, , ,99.9,99.9, ,99.9,99.9,99.9,99.9,99.9,100, ,99.4,
196,Cyprus,553,"Maternal mortality ratio per 100,000 live births",16,15,17,14,17,17,13,14,14,14,15,9,10,9,9,12,9,8,8,8,8,7,7,7,7,7
